Iter 0, Minibatch Loss= 0.750648, Training Accuracy= 0.39062
Iter 15800, Minibatch Loss= 0.630772, Training Accuracy= 0.67969
Iter 15900, Minibatch Loss= 0.609715, Training Accuracy= 0.70312
Iter 16000, Minibatch Loss= 0.614274, Training Accuracy= 0.69531
Iter 16100, Minibatch Loss= 0.552214, Training Accuracy= 0.76562
Iter 16200, Minibatch Loss= 0.612121, Training Accuracy= 0.70312
Iter 16300, Minibatch Loss= 0.581704, Training Accuracy= 0.73438
Iter 16400, Minibatch Loss= 0.641476, Training Accuracy= 0.66406
Iter 16500, Minibatch Loss= 0.620459, Training Accuracy= 0.68750
Iter 16600, Minibatch Loss= 0.659968, Training Accuracy= 0.64062
Iter 16700, Minibatch Loss= 0.614959, Training Accuracy= 0.69531
Iter 16800, Minibatch Loss= 0.654230, Training Accuracy= 0.64844
Iter 16900, Minibatch Loss= 0.603412, Training Accuracy= 0.71094
Iter 17000, Minibatch Loss= 0.540178, Training Accuracy= 0.78125
Iter 17100, Minibatch Loss= 0.639487, Training Accuracy= 0.66406
Iter 17200, Minibatch Loss= 0.617314, Training Accuracy= 0.69531
Iter 17300, Minibatch Loss= 0.636068, Training Accuracy= 0.67188
Iter 17400, Minibatch Loss= 0.632857, Training Accuracy= 0.67188
Iter 17500, Minibatch Loss= 0.564713, Training Accuracy= 0.75781
Iter 17600, Minibatch Loss= 0.578281, Training Accuracy= 0.73438
Iter 17700, Minibatch Loss= 0.587870, Training Accuracy= 0.72656
Iter 17800, Minibatch Loss= 0.590596, Training Accuracy= 0.72656
Iter 17900, Minibatch Loss= 0.604531, Training Accuracy= 0.71094
Iter 18000, Minibatch Loss= 0.687194, Training Accuracy= 0.60938
Iter 18100, Minibatch Loss= 0.556425, Training Accuracy= 0.76562
Iter 18200, Minibatch Loss= 0.678607, Training Accuracy= 0.61719
Iter 18300, Minibatch Loss= 0.639486, Training Accuracy= 0.66406
Iter 18400, Minibatch Loss= 0.558028, Training Accuracy= 0.76562
Iter 18500, Minibatch Loss= 0.600959, Training Accuracy= 0.71094
Iter 18600, Minibatch Loss= 0.636293, Training Accuracy= 0.67188
Iter 18700, Minibatch Loss= 0.634351, Training Accuracy= 0.67188
Iter 18800, Minibatch Loss= 0.628145, Training Accuracy= 0.67969
Iter 18900, Minibatch Loss= 0.595622, Training Accuracy= 0.71875
Iter 19000, Minibatch Loss= 0.610159, Training Accuracy= 0.70312
Iter 19100, Minibatch Loss= 0.614218, Training Accuracy= 0.69531
Iter 19200, Minibatch Loss= 0.606229, Training Accuracy= 0.70312
Iter 19300, Minibatch Loss= 0.600315, Training Accuracy= 0.71094
Iter 19400, Minibatch Loss= 0.606786, Training Accuracy= 0.70312
Iter 19500, Minibatch Loss= 0.576051, Training Accuracy= 0.74219
Iter 19600, Minibatch Loss= 0.700872, Training Accuracy= 0.58594
Iter 19700, Minibatch Loss= 0.659970, Training Accuracy= 0.64062
Iter 19800, Minibatch Loss= 0.613475, Training Accuracy= 0.69531
Iter 19900, Minibatch Loss= 0.596998, Training Accuracy= 0.71875
Iter 20000, Minibatch Loss= 0.607284, Training Accuracy= 0.70312
Iter 20100, Minibatch Loss= 0.615004, Training Accuracy= 0.69531
Iter 20200, Minibatch Loss= 0.581442, Training Accuracy= 0.74219
Iter 20300, Minibatch Loss= 0.608810, Training Accuracy= 0.70312
Iter 20400, Minibatch Loss= 0.587887, Training Accuracy= 0.72656
Iter 20500, Minibatch Loss= 0.635320, Training Accuracy= 0.67188
Iter 20600, Minibatch Loss= 0.596205, Training Accuracy= 0.71875
Iter 20700, Minibatch Loss= 0.638332, Training Accuracy= 0.67188
Iter 20800, Minibatch Loss= 0.641077, Training Accuracy= 0.66406
Iter 20900, Minibatch Loss= 0.644910, Training Accuracy= 0.65625
Iter 21000, Minibatch Loss= 0.613488, Training Accuracy= 0.69531
Iter 21100, Minibatch Loss= 0.626224, Training Accuracy= 0.67969
Iter 21200, Minibatch Loss= 0.618262, Training Accuracy= 0.69531
Iter 21300, Minibatch Loss= 0.607606, Training Accuracy= 0.70312
Iter 21400, Minibatch Loss= 0.592042, Training Accuracy= 0.72656
Iter 21500, Minibatch Loss= 0.668830, Training Accuracy= 0.63281
Iter 21600, Minibatch Loss= 0.546380, Training Accuracy= 0.78125
Iter 21700, Minibatch Loss= 0.599452, Training Accuracy= 0.71094
Iter 21800, Minibatch Loss= 0.665655, Training Accuracy= 0.63281
Iter 21900, Minibatch Loss= 0.593120, Training Accuracy= 0.71875
Iter 22000, Minibatch Loss= 0.584051, Training Accuracy= 0.73438
Iter 22100, Minibatch Loss= 0.572615, Training Accuracy= 0.75000
Iter 22200, Minibatch Loss= 0.567566, Training Accuracy= 0.75000
Iter 22300, Minibatch Loss= 0.611727, Training Accuracy= 0.70312
Iter 22400, Minibatch Loss= 0.552729, Training Accuracy= 0.76562
Iter 22500, Minibatch Loss= 0.662128, Training Accuracy= 0.63281
Iter 22600, Minibatch Loss= 0.608411, Training Accuracy= 0.70312
Iter 22700, Minibatch Loss= 0.615501, Training Accuracy= 0.69531
Iter 22800, Minibatch Loss= 0.640997, Training Accuracy= 0.66406
Iter 22900, Minibatch Loss= 0.610582, Training Accuracy= 0.69531
Iter 23000, Minibatch Loss= 0.589750, Training Accuracy= 0.72656
Iter 23100, Minibatch Loss= 0.596919, Training Accuracy= 0.71875
Iter 23200, Minibatch Loss= 0.651403, Training Accuracy= 0.64844
Iter 23300, Minibatch Loss= 0.582202, Training Accuracy= 0.73438
Iter 23400, Minibatch Loss= 0.596626, Training Accuracy= 0.71875
Iter 23500, Minibatch Loss= 0.620066, Training Accuracy= 0.68750
Iter 23600, Minibatch Loss= 0.615001, Training Accuracy= 0.69531
Iter 23700, Minibatch Loss= 0.594916, Training Accuracy= 0.71875
Iter 23800, Minibatch Loss= 0.567289, Training Accuracy= 0.75000
Iter 23900, Minibatch Loss= 0.608912, Training Accuracy= 0.70312
Iter 24000, Minibatch Loss= 0.606585, Training Accuracy= 0.70312
Iter 24100, Minibatch Loss= 0.623593, Training Accuracy= 0.68750
Iter 24200, Minibatch Loss= 0.657219, Training Accuracy= 0.64844
Iter 24300, Minibatch Loss= 0.616915, Training Accuracy= 0.69531
Iter 24400, Minibatch Loss= 0.661315, Training Accuracy= 0.63281
Iter 24500, Minibatch Loss= 0.597656, Training Accuracy= 0.71094
Iter 24600, Minibatch Loss= 0.563249, Training Accuracy= 0.75781
Iter 24700, Minibatch Loss= 0.608030, Training Accuracy= 0.70312
Iter 24800, Minibatch Loss= 0.575773, Training Accuracy= 0.74219
Iter 24900, Minibatch Loss= 0.619893, Training Accuracy= 0.68750
Iter 25000, Minibatch Loss= 0.649689, Training Accuracy= 0.65625
Iter 25100, Minibatch Loss= 0.563519, Training Accuracy= 0.75781
Iter 25200, Minibatch Loss= 0.596531, Training Accuracy= 0.71875
Iter 25300, Minibatch Loss= 0.669727, Training Accuracy= 0.63281
Iter 25400, Minibatch Loss= 0.556484, Training Accuracy= 0.76562
Iter 25500, Minibatch Loss= 0.625835, Training Accuracy= 0.68750
Iter 25600, Minibatch Loss= 0.609440, Training Accuracy= 0.70312
Iter 25700, Minibatch Loss= 0.600896, Training Accuracy= 0.71094
Iter 25800, Minibatch Loss= 0.571638, Training Accuracy= 0.75000
Iter 25900, Minibatch Loss= 0.576976, Training Accuracy= 0.74219
Iter 26000, Minibatch Loss= 0.620288, Training Accuracy= 0.68750
Iter 26100, Minibatch Loss= 0.543469, Training Accuracy= 0.78125
Iter 26200, Minibatch Loss= 0.591727, Training Accuracy= 0.71875
Iter 26300, Minibatch Loss= 0.632807, Training Accuracy= 0.67188
Iter 26400, Minibatch Loss= 0.650696, Training Accuracy= 0.65625
Iter 26500, Minibatch Loss= 0.655516, Training Accuracy= 0.64062
Iter 26600, Minibatch Loss= 0.593284, Training Accuracy= 0.71875
Iter 26700, Minibatch Loss= 0.561095, Training Accuracy= 0.75781
Iter 26800, Minibatch Loss= 0.686366, Training Accuracy= 0.60938
Iter 26900, Minibatch Loss= 0.619278, Training Accuracy= 0.68750
Iter 27000, Minibatch Loss= 0.605219, Training Accuracy= 0.70312
Iter 27100, Minibatch Loss= 0.644531, Training Accuracy= 0.66406
Iter 27200, Minibatch Loss= 0.594060, Training Accuracy= 0.72656
Iter 27300, Minibatch Loss= 0.555531, Training Accuracy= 0.76562
Iter 27400, Minibatch Loss= 0.602164, Training Accuracy= 0.71094
Iter 27500, Minibatch Loss= 0.558936, Training Accuracy= 0.76562
Iter 27600, Minibatch Loss= 0.602527, Training Accuracy= 0.71094
Iter 27700, Minibatch Loss= 0.646068, Training Accuracy= 0.65625
Iter 27800, Minibatch Loss= 0.620624, Training Accuracy= 0.68750
Iter 27900, Minibatch Loss= 0.628868, Training Accuracy= 0.67969
Iter 28000, Minibatch Loss= 0.607672, Training Accuracy= 0.70312
Iter 28100, Minibatch Loss= 0.564815, Training Accuracy= 0.75781
Iter 28200, Minibatch Loss= 0.587779, Training Accuracy= 0.72656
Iter 28300, Minibatch Loss= 0.619988, Training Accuracy= 0.68750
Iter 28400, Minibatch Loss= 0.568127, Training Accuracy= 0.75000
Iter 28500, Minibatch Loss= 0.593540, Training Accuracy= 0.71875
Iter 28600, Minibatch Loss= 0.595620, Training Accuracy= 0.71875
Iter 28700, Minibatch Loss= 0.582737, Training Accuracy= 0.73438
Iter 28800, Minibatch Loss= 0.608729, Training Accuracy= 0.70312
Iter 28900, Minibatch Loss= 0.647823, Training Accuracy= 0.65625
Iter 29000, Minibatch Loss= 0.596232, Training Accuracy= 0.71875
Iter 29100, Minibatch Loss= 0.508317, Training Accuracy= 0.82031
Iter 29200, Minibatch Loss= 0.640516, Training Accuracy= 0.66406
Iter 29300, Minibatch Loss= 0.594970, Training Accuracy= 0.71875
Iter 29400, Minibatch Loss= 0.609029, Training Accuracy= 0.70312
Iter 29500, Minibatch Loss= 0.661980, Training Accuracy= 0.64062
Iter 29600, Minibatch Loss= 0.561823, Training Accuracy= 0.75781
Iter 29700, Minibatch Loss= 0.623318, Training Accuracy= 0.68750
Iter 29800, Minibatch Loss= 0.648465, Training Accuracy= 0.65625
Iter 29900, Minibatch Loss= 0.562640, Training Accuracy= 0.75781
Test accuracy:  0.699508415264
